Nafn,Númer,Greiningartími,Spátími,Villa,Úrkoma á klst. (mm),Úrkomuklukkustundir (klst.),Hiti (°C),Vindhraði (m/s),Vindátt,Veður,Skýjahula (%),Vindgráður
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 12:00:00,,0,0 / 1klst.,13,1,A,Heiðskírt,0,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 13:00:00,,0,0 / 1klst.,14,1,NNV,Heiðskírt,0,344
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 14:00:00,,0,0 / 1klst.,15,1,VNV,Léttskýjað,0,298
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 15:00:00,,0,0 / 1klst.,15,2,VNV,Skýjað,80,298
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 16:00:00,,0,0 / 1klst.,15,2,V,Alskýjað,100,275
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 17:00:00,,0,0 / 1klst.,15,2,VNV,Alskýjað,100,298
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 18:00:00,,0,0 / 1klst.,14,2,VNV,Alskýjað,100,298
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 19:00:00,,0,0 / 1klst.,14,2,VNV,Alskýjað,100,298
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 20:00:00,,0,0 / 1klst.,13,1,VNV,Alskýjað,100,298
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 21:00:00,,0,0 / 1klst.,14,2,SA,Alskýjað,100,137
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 22:00:00,,0,0 / 1klst.,13,3,ANA,Alskýjað,100,68
Reykjavík,1,2020-08-18 12:00:00,2020-08-20 23:00:00,,0,0 / 1klst.,11,3,ANA,Alskýjað,100,68
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 00:00:00,,0,0 / 1klst.,10,2,ANA,Alskýjað,100,68
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 01:00:00,,0,0 / 1klst.,9,2,A,Alskýjað,100,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 02:00:00,,0,0 / 1klst.,9,2,ANA,Alskýjað,100,68
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 03:00:00,,0,0 / 1klst.,9,2,ANA,Alskýjað,100,68
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 04:00:00,,0,0 / 1klst.,9,1,NNA,Alskýjað,100,23
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 05:00:00,,0,0 / 1klst.,9,1,NNV,Alskýjað,100,344
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 06:00:00,,0,0 / 1klst.,8,1,VNV,Alskýjað,100,298
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 09:00:00,,0,0 / 3klst.,9,1,NA,Alskýjað,100,45
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 12:00:00,,0,0 / 3klst.,12,2,NNV,Alskýjað,100,344
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 15:00:00,,0,0 / 3klst.,14,2,NNV,Alskýjað,90,344
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 18:00:00,,0,0 / 3klst.,15,2,NV,Léttskýjað,50,321
Reykjavík,1,2020-08-18 12:00:00,2020-08-21 21:00:00,,0,0 / 3klst.,11,2,NA,Heiðskírt,0,45
Reykjavík,1,2020-08-18 12:00:00,2020-08-22 00:00:00,,0,0 / 3klst.,9,2,A,Heiðskírt,10,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-22 03:00:00,,0,0 / 3klst.,8,2,A,Heiðskírt,0,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-22 06:00:00,,0,0 / 3klst.,7,3,A,Heiðskírt,0,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-22 09:00:00,,0,0 / 3klst.,10,2,A,Léttskýjað,10,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-22 12:00:00,,0,0 / 3klst.,13,2,A,Skýjað,60,91
Reykjavík,1,2020-08-18 12:00:00,2020-08-22 15:00:00,,0,0 / 3klst.,14,1,NA,Skýjað,80,45
Reykjavík,1,2020-08-18 12:00:00,2020-08-22 18:00:00,,0,0 / 3klst.,13,0,Logn,Skýjað,70,0
Reykjavík,1,2020-08-18 12:00:00,2020-08-22 21:00:00,,0,0 / 3klst.,10,1,VNV,Léttskýjað,40,298
