station_name,pollutantnotation,endtime,the_value,resolution,verification,station_local_id,concentration
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-12 08:00:00,-1.30555,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-11 19:00:00,-1.25576,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-11 16:00:00,-3.32138,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-11 17:00:00,-0.635743,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-12 09:00:00,-2.48899,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-11 11:00:00,-4.20377,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-11 21:00:00,-2.84172,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-11 15:00:00,-3.85744,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-11 20:00:00,-3.93554,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-11 18:00:00,0.300839,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-11 12:00:00,-2.61058,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NOX as NO2,2020-08-11 13:00:00,-2.82338,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 19:00:00,1.21701,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 16:00:00,0.759028,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-12 08:00:00,1.55625,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-12 05:00:00,0.139583,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-12 02:00:00,0.015972,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-12 03:00:00,-0.0611112,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 13:00:00,1.2875,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-12 09:00:00,1.7125,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 17:00:00,1.30382,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 10:00:00,0.784375,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-12 04:00:00,0.0815972,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 11:00:00,0.827432,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 15:00:00,0.908334,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-12 07:00:00,0.188194,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-12 01:00:00,0.196875,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-12 00:00:00,0.0801677,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 21:00:00,0.613542,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 22:00:00,0.313195,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 18:00:00,1.26076,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 12:00:00,1.19757,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 20:00:00,0.805902,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-12 06:00:00,0.197569,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 14:00:00,0.770486,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO,2020-08-11 23:00:00,0.389931,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 19:00:00,6.92453,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 16:00:00,5.17558,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-12 08:00:00,6.34644,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-12 05:00:00,0.0686569,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-12 02:00:00,0.257861,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-12 03:00:00,0.384699,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 13:00:00,5.22642,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-12 09:00:00,4.93344,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 17:00:00,7.39256,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 10:00:00,4.20388,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-12 04:00:00,0.491094,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 11:00:00,4.37788,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 15:00:00,4.76468,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-12 07:00:00,1.68344,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-12 01:00:00,0.849055,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-12 00:00:00,1.30293,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 21:00:00,6.19601,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 22:00:00,3.65356,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 18:00:00,8.38889,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 12:00:00,5.5849,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 20:00:00,4.84592,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-12 06:00:00,0.541402,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 14:00:00,3.68291,1h,3,STA-IS0006A,µg/m3
Reykjavik Husdyragardurinn,NO2,2020-08-11 23:00:00,3.02149,1h,3,STA-IS0006A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 19:00:00,1.15723,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 16:00:00,3.17924,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-12 08:00:00,5.05975,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-12 05:00:00,0.842768,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-12 02:00:00,0.54717,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-12 03:00:00,0.490566,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 13:00:00,2.24529,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-12 09:00:00,0.930818,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 17:00:00,2.21384,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 10:00:00,1.74528,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-12 04:00:00,0.352201,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 11:00:00,2.13522,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 15:00:00,3.31446,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-12 07:00:00,9.48428,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-12 01:00:00,0.405661,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-12 00:00:00,0.842768,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 21:00:00,2.30818,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 22:00:00,0.996856,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 18:00:00,2.10692,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 12:00:00,1.71384,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 20:00:00,1.15094,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-12 06:00:00,4.40251,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 14:00:00,3.62264,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NOX as NO2,2020-08-11 23:00:00,0.534592,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 19:00:00,0.360417,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 16:00:00,0.789583,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-12 08:00:00,1.12708,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-12 05:00:00,0.295833,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-12 02:00:00,0.314583,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-12 03:00:00,0.291667,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 13:00:00,0.535417,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-12 09:00:00,0.3875,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 17:00:00,0.595834,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 10:00:00,0.385417,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-12 04:00:00,0.277083,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 11:00:00,0.475,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 15:00:00,0.63125,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-12 07:00:00,1.26458,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-12 01:00:00,0.3,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-12 00:00:00,0.2875,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 21:00:00,0.31875,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 22:00:00,0.239583,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 18:00:00,0.545834,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 12:00:00,0.375,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 20:00:00,0.316667,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-12 06:00:00,0.364583,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 14:00:00,0.608334,1h,3,STA-IS0053A,µg/m3
"Eyjavellir, Reykjanesbær",NO,2020-08-11 23:00:00,0.2125,1h,3,STA-IS0053A,µg/m3
